city,label
Mumbai,Mumbai
Delhi,Delhi
Bengaluru,Bengaluru
Hyderabad,Hyderabad
Ahmedabad,Ahmedabad
Chennai,Chennai
Kolkata,Kolkata
Surat,Surat
Pune,Pune
Jaipur,Jaipur
Lucknow,Lucknow
Kanpur,Kanpur
Nagpur,Nagpur
Indore,Indore
Thane,Thane
Bhopal,Bhopal
Visakhapatnam,Visakhapatnam
Pimpri-Chinchwad,Pimpri-Chinchwad
Patna,Patna
Vadodara,Vadodara
Ghaziabad,Ghaziabad
Ludhiana,Ludhiana
Agra,Agra
Nashik,Nashik
Ranchi,Ranchi
Faridabad,Faridabad
Meerut,Meerut
Rajkot,Rajkot
Kalyan-Dombivli,Kalyan-Dombivli
Vasai-Virar,Vasai-Virar
Varanasi,Varanasi
Srinagar,Srinagar
Aurangabad,Aurangabad
Dhanbad,Dhanbad
Amritsar,Amritsar
Navi Mumbai,Navi Mumbai
Allahabad,Allahabad
Howrah,Howrah
Gwalior,Gwalior
Jabalpur,Jabalpur
Coimbatore,Coimbatore
Vijayawada,Vijayawada
Jodhpur,Jodhpur
Madurai,Madurai
Raipur,Raipur
Kota,Kota
Chandigarh,Chandigarh
Guwahati,Guwahati
Solapur,Solapur
Hubli–Dharwad,Hubli–Dharwad
Mysuru,Mysuru
Tiruchirappalli,Tiruchirappalli
Bareilly,Bareilly
Aligarh,Aligarh
Tiruppur,Tiruppur
Gurgaon,Gurgaon
Moradabad,Moradabad
Jalandhar,Jalandhar
Bhubaneswar,Bhubaneswar
Salem,Salem
Warangal,Warangal
Mira-Bhayandar,Mira-Bhayandar
Jalgaon,Jalgaon
Guntur,Guntur
Thiruvananthapuram,Thiruvananthapuram
Bhiwandi,Bhiwandi
Saharanpur,Saharanpur
Gorakhpur,Gorakhpur
Bikaner,Bikaner
Amravati,Amravati
Noida,Noida
Jamshedpur,Jamshedpur
Bhilai,Bhilai
Cuttack,Cuttack
Firozabad,Firozabad
Kochi,Kochi
Nellore,Nellore
Bhavnagar,Bhavnagar
Dehradun,Dehradun
Durgapur,Durgapur
Asansol,Asansol
Rourkela,Rourkela
Nanded,Nanded
Kolhapur,Kolhapur
Ajmer,Ajmer
Akola,Akola
Gulbarga,Gulbarga
Jamnagar,Jamnagar
Ujjain,Ujjain
Loni,Loni
Siliguri,Siliguri
Jhansi,Jhansi
Ulhasnagar,Ulhasnagar
Jammu,Jammu
Sangli-Miraj & Kupwad,Sangli-Miraj & Kupwad
Mangaluru,Mangaluru
Erode,Erode
Belgaum,Belgaum
Kurnool,Kurnool
Ambattur,Ambattur
Goa,Goa